"","Region","site","ID","Microsite","RDM","x","y","z","bur.drip","bur.buf","max.veg.height","rdm.cov","green.cov","non.veg.cov","largewood.cov","lrgrocks.cov","AT","PF","PF.out","PF.in","RDM.date","comments","uniID","abun","H","Simpson","Species","Even"
"C1 ephedra 10","Cuyama","C1",10,"ephedra",5.0761,295,245,170,2,0,49,85,0,15,NA,NA,"Y","Y","june.28","july.1","july.1",NA,"C1 ephedra 10",15,1.0775733728922,0.577777777777778,4,0.777304880632783
"C1 ephedra 14","Cuyama","C1",14,"ephedra",2.9378,425,400,195,3,0,32,50,0,20,30,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 ephedra 14",31,0.973558432602866,0.393340270551509,8,0.468182640910596
"C1 ephedra 18","Cuyama","C1",18,"ephedra",0.2944,375,365,120,1,0,20,7,0,91,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 ephedra 18",52,0.75097956085167,0.30991124260355,7,0.385927151475236
"C1 ephedra 2","Cuyama","C1",2,"ephedra",2.5613,410,405,210,1,0,31,80,0,5,15,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 ephedra 2",73,1.41261546593612,0.655657721899043,9,0.642909004617402
"C1 ephedra 26","Cuyama","C1",26,"ephedra",1.6736,380,280,115,2,0,16,20,0,75,5,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 ephedra 26",25,1.7864625479053,0.7488,10,0.775850826682096
"C1 ephedra 30","Cuyama","C1",30,"ephedra",0,425,375,190,1,0,NA,0,0,0,0,NA,NA,"Y","june.28","july.1","july.1","0 rdm","C1 ephedra 30",44,2.25712815550792,0.871900826446281,13,0.879989364679597
"C1 ephedra 6","Cuyama","C1",6,"ephedra",2.7842,225,195,160,1,0,32,45,0,55,NA,NA,"Y","Y","june.28","july.1","july.1",NA,"C1 ephedra 6",5,1.33217904021012,0.72,4,0.960964047443681
"C1 open 10","Cuyama","C1",10,"open",2.1315,NA,NA,NA,1,NA,20,40,5,55,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 10",8,1.73286795139986,0.8125,6,0.967132018086354
"C1 open 18","Cuyama","C1",18,"open",0.2734,NA,NA,NA,0,NA,7,5,0,95,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 18",22,1.8064863471053,0.801652892561983,8,0.868736298134145
"C1 open 2","Cuyama","C1",2,"open",0.6139,NA,NA,NA,1,NA,19,20,0,80,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 2",32,1.11893747454469,0.59375,5,0.69523494252252
"C1 open 21","Cuyama","C1",21,"open",3.7783,NA,NA,NA,2,NA,23,20,10,70,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 21",26,1.49702665628696,0.665680473372781,8,0.719917644367929
"C1 open 26","Cuyama","C1",26,"open",8.5927,NA,NA,NA,3,NA,12,75,0,25,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 26",27,1.63666867469966,0.735253772290809,8,0.787071260189173
"C1 open 30","Cuyama","C1",30,"open",1.6039,NA,NA,NA,0,NA,12,8,0,92,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 30",38,1.95703458016415,0.831024930747922,10,0.849929319059138
"C1 open 6","Cuyama","C1",6,"open",10.1174,NA,NA,NA,0,NA,37,85,0,15,NA,NA,NA,"Y","june.28","july.1","july.1",NA,"C1 open 6",17,2.11928092190985,0.830449826989619,11,0.883808790963846
