"","morph","Cuyama","Mojave","Panoche"
"1","Acrididae 1","Y",NA,NA
"2","Acrididae 3","Y","Y",NA
"3","Acrididae 2",NA,"Y",NA
"4","Acrididae 4",NA,"Y",NA
"5","Agelenidae 3",NA,"Y",NA
"6","Agelenidae 4",NA,"Y",NA
"7","Agelenidae 5",NA,"Y",NA
"8","Agelenidae 2",NA,NA,"Y"
"9","Agelenidae 1",NA,NA,"Y"
"10","Alleculinae 1","Y",NA,NA
"11","Cononotus 1","Y","Y",NA
"12","Anthomyiidae 3","Y",NA,NA
"13","Anthomyiidae 1","Y","Y",NA
"14","Anthomyiidae 2","Y",NA,NA
"15","Anthomyiidae 4","Y",NA,NA
"16","Bethylidae 2","Y","Y",NA
"17","Bethylidae 1","Y","Y","Y"
"18","Bethylidae 3",NA,"Y",NA
"19","Braconidae 1",NA,"Y",NA
"20","Camponotus 1","Y",NA,NA
"21","Camponotus 2","Y",NA,NA
"22","Carabidae 3","Y","Y",NA
"23","Carabidae 1","Y",NA,NA
"24","Carabidae 2","Y",NA,NA
"25","Cerambycidae  2",NA,"Y",NA
"26","Cerambycidae  1",NA,"Y",NA
"27","Chlorochroa sayi 1","Y",NA,NA
"28","Chlorochroa uhleri 1","Y",NA,NA
"29","Chrysididae 1",NA,"Y",NA
"30","Chrysomelidae 1","Y",NA,NA
"31","Chrysopidae 1",NA,"Y",NA
"32","Chrysopidae 2",NA,"Y",NA
"33","Chyphotes 1","Y","Y",NA
"34","Cicadellidae 4","Y",NA,NA
"35","Cicadellidae 2","Y",NA,NA
"36","Cicadellidae 8","Y",NA,NA
"37","Cicadellidae 3","Y",NA,NA
"38","Cicadellidae 5",NA,"Y",NA
"39","Cicadellidae 6",NA,"Y",NA
"40","Cicadellidae 7",NA,"Y",NA
"41","Cicadellidae 1",NA,NA,"Y"
"42","Coleoptera 3","Y","Y",NA
"43","Crabronidae 1",NA,"Y",NA
"44","Crematogaster 1",NA,"Y",NA
"45","Crematogaster 2",NA,"Y",NA
"46","Culicidae 1",NA,"Y",NA
"47","Dermestidae 1","Y",NA,NA
"48","Dictynidae 1","Y",NA,NA
"49","Dolichopodidae 1","Y",NA,NA
"50","Dolichopodidae  1","Y",NA,NA
"51","Dorymyrmex 2","Y","Y",NA
"52","Dorymyrmex 1","Y",NA,"Y"
"53","Dorymyrmex 3",NA,"Y",NA
"54","Edrotes rotundus 1",NA,"Y",NA
"55","Elateridae 1","Y","Y",NA
"56","Elateridae 2",NA,"Y",NA
"57","Eleodes 1","Y","Y","Y"
"58","Embioptera 1","Y",NA,"Y"
"59","Encyrtidae 1","Y",NA,NA
"60","Entiminae 1",NA,NA,"Y"
"61","Forelius 1","Y","Y","Y"
"62","Forficula auricularia 1","Y",NA,"Y"
"63","Geocoridae 1","Y","Y","Y"
"64","Gnaphosidae 1","Y",NA,"Y"
"65","Gnaphosidae 4","Y",NA,NA
"66","Gnaphosidae 2","Y",NA,"Y"
"67","Gnaphosidae 3","Y",NA,"Y"
"68","Gnaphosidae 6","Y",NA,NA
"69","Gnaphosidae 5","Y",NA,NA
"70","Gnaphosidae 7","Y","Y",NA
"71","Gnaphosidae 8",NA,"Y",NA
"72","Heleomyzidae 2","Y",NA,NA
"73","Heleomyzidae 1","Y",NA,NA
"74","Heleomyzidae 3","Y",NA,NA
"75","Heleomyzidae 4","Y",NA,NA
"76","Hemiptera 1",NA,"Y",NA
"77","Histeridae 1",NA,"Y",NA
"78","Holcostethus? 1",NA,NA,"Y"
"79","Hyperaspidius 1","Y",NA,NA
"80","Issidae 1","Y",NA,NA
"81","Lasioglossum 1","Y",NA,NA
"82","Latrodectus hesperus 1","Y",NA,NA
"83","Linyphiidae 1","Y",NA,NA
"84","Liocranidae 1","Y",NA,"Y"
"85","Loxosceles 1",NA,"Y","Y"
"86","Lycosidae 2","Y",NA,"Y"
"87","Lycosidae 4",NA,NA,"Y"
"88","Lycosidae 3",NA,NA,"Y"
"89","Lycosidae 1",NA,NA,"Y"
"90","Lygaeidae 5",NA,"Y",NA
"91","Lygaeidae 1",NA,NA,"Y"
"92","Lygaeidae 2",NA,NA,"Y"
"93","Mantodea 2",NA,"Y",NA
"94","Mantodea 1",NA,NA,"Y"
"95","Meloidae 1","Y",NA,NA
"96","Melyridae 2","Y",NA,NA
"97","Messor 1","Y","Y","Y"
"98","Messor 2","Y",NA,"Y"
"99","Micaria 1","Y",NA,NA
"100","Microcoryphia 1","Y","Y","Y"
"101","Micro-moth 1","Y",NA,"Y"
"102","Micro-moth 5","Y",NA,NA
"103","Micro-moth 7","Y",NA,NA
"104","Micro-moth 6","Y",NA,NA
"105","Micro-moth 11",NA,"Y",NA
"106","Micro-moth 9",NA,"Y",NA
"107","Micro-moth 12",NA,"Y",NA
"108","Micro-moth 13",NA,"Y",NA
"109","Micro-moth 10",NA,"Y",NA
"110","Micro-moth 8",NA,"Y",NA
"111","Micro-moth 15",NA,"Y",NA
"112","Micro-moth 14",NA,"Y",NA
"113","Micro-moth 2",NA,NA,"Y"
"114","Micro-moth 3",NA,NA,"Y"
"115","Micro-moth 4",NA,NA,"Y"
"116","Miscophus 3",NA,"Y",NA
"117","Miscophus 1",NA,"Y",NA
"118","moth 1","Y",NA,NA
"119","moth 2",NA,"Y",NA
"120","Mutillidae 1","Y","Y","Y"
"121","Myrmecocystus 2","Y","Y",NA
"122","Myrmecocystus 3","Y","Y",NA
"123","Myrmecocystus 4","Y","Y",NA
"124","Myrmecocystus 5",NA,"Y",NA
"125","Myrmecocystus 1",NA,"Y","Y"
"126","Myrmeleontidae 2",NA,"Y",NA
"127","Myrmeleontidae 3",NA,"Y",NA
