"","rii","X","Region","site","ID","Microsite","RDM","x","y","z","bur.drip","bur.buf","max.veg.height","rdm.cov","green.cov","non.veg.cov","largewood.cov","lrgrocks.cov","AT","PF","PF.out","PF.in","RDM.date","comments","ESI","Max","arid","label","uniID"
"1",0.593643278174562,1,"Panoche","PAN3",1,"ephedra",9.9629,355,275,160,3,4,59,80,0,20,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 1"
"3",0.15677056821471,3,"Panoche","PAN3",2,"ephedra",5.7949,430,420,160,5,1,42,90,0,10,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 2"
"5",-0.0118534639100471,5,"Panoche","PAN3",3,"ephedra",3.4054,520,455,170,5,1,37,90,0,10,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 3"
"7",-0.344423343802498,7,"Panoche","PAN3",4,"ephedra",1.7951,370,325,120,3,2,21,60,0,40,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 4"
"9",0.111035742238456,9,"Panoche","PAN3",5,"ephedra",4.2586,455,375,140,1,2,43,90,0,10,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 5"
"11",0.153085808209308,11,"Panoche","PAN3",6,"ephedra",2.5606,275,255,130,1,1,40,85,0,15,0,NA,NA,"N","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 6"
"13",0.653449552783,13,"Panoche","PAN3",7,"ephedra",2.9023,275,250,95,3,2,43,80,0,20,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 7"
"15",0.343328982464105,15,"Panoche","PAN3",8,"ephedra",5.9177,310,245,110,1,4,62,80,0,20,0,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 8"
"17",0.849887415561671,17,"Panoche","PAN3",9,"ephedra",4.4364,135,115,110,2,0,28,95,0,0,5,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 9"
"19",-0.00535483111686475,19,"Panoche","PAN3",10,"ephedra",5.0709,355,345,130,0,1,44,90,0,10,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 10"
"21",0.102533485619354,21,"Panoche","PAN3",11,"ephedra",2.1237,280,270,95,0,2,24,100,0,0,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 11"
"23",0.158905058905059,23,"Panoche","PAN3",12,"ephedra",6.6892,320,300,155,1,1,55,60,0,40,0,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 12"
"25",0.447617595486773,25,"Panoche","PAN3",13,"ephedra",4.7471,175,90,115,0,0,46,80,0,20,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 13"
"27",0.54820703328008,27,"Panoche","PAN3",14,"ephedra",4.0217,530,420,160,5,4,39,100,0,0,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 14"
"29",0.29990635451505,29,"Panoche","PAN3",15,"ephedra",4.8584,565,440,130,0,3,27,90,0,10,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 15"
"31",-0.404815979063576,31,"Panoche","PAN3",16,"ephedra",1.9786,580,410,115,3,2,35,75,0,25,0,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 16"
"33",0.39552323970068,33,"Panoche","PAN3",17,"ephedra",4.28,265,210,120,0,1,46,80,0,20,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 17"
"35",0.213397129186603,35,"Panoche","PAN3",18,"ephedra",3.487,255,235,125,1,1,23,80,0,20,0,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 18"
"37",0.73349249567445,37,"Panoche","PAN3",19,"ephedra",6.4622,280,265,115,0,1,24,50,0,50,NA,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 19"
"39",0.127411188752667,39,"Panoche","PAN3",20,"ephedra",1.3472,170,150,95,1,0,20,50,0,50,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 20"
"41",0.482197479505689,41,"Panoche","PAN3",21,"ephedra",1.2114,275,210,120,0,1,14,40,0,60,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 21"
"43",0.674305033809166,43,"Panoche","PAN3",22,"ephedra",3.5656,275,260,100,4,0,38,75,0,25,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 22"
"45",0.735222534573515,45,"Panoche","PAN3",23,"ephedra",4.5986,395,390,165,0,1,28,100,0,0,NA,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 23"
"47",0.647233401533377,47,"Panoche","PAN3",24,"ephedra",3.6632,220,205,95,0,0,30,70,0,30,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 24"
"49",-0.32833791675679,49,"Panoche","PAN3",25,"ephedra",2.1737,235,185,95,0,3,30,95,0,5,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 25"
"51",0.26839061516795,51,"Panoche","PAN3",27,"ephedra",4.233,210,130,85,0,0,27,80,0,20,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 27"
"53",0.222353622021488,53,"Panoche","PAN3",28,"ephedra",12.145,175,75,115,0,0,48,70,0,30,NA,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 28"
"55",0.577930346430025,55,"Panoche","PAN3",29,"ephedra",6.0101,330,205,80,2,0,49,80,0,20,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 29"
"57",0.0319309823331271,57,"Panoche","PAN3",31,"ephedra",3.0023,265,210,100,2,0,20,85,0,15,NA,NA,NA,NA,NA,NA,"june.24.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 31"
"59",-0.612226468232305,59,"Panoche","PAN3",32,"ephedra",3.8002,350,330,165,1,0,50,85,0,15,NA,NA,NA,"Y","june.23.morning","june.26.morning","june.26.morning",NA,0.2219,35.3,15.4508196721311,"Semi-arid 6","PAN3 32"
