ID,Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_ESIavg,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_PET
C1,34.84872602,-119.483117,2019-06-21 14:56:35 UTC,05437,0601,001,0.5327,242.7556
C1,34.84872602,-119.483117,2019-06-23 21:25:34 UTC,05472,0601,012,0.0465,615.203
C1,34.84872602,-119.483117,2019-06-30 18:51:58 UTC,05579,0601,009,0.1145,602.8887
C1,34.84872602,-119.483117,2019-07-11 14:39:05 UTC,05747,0601,013,0.7122,213.909
C2,34.85362197,-119.485961,2019-06-21 14:56:35 UTC,05437,0601,001,0.4577,234.7656
C2,34.85362197,-119.485961,2019-06-23 21:25:34 UTC,05472,0601,012,0.0351,569.0286
C2,34.85362197,-119.485961,2019-06-30 18:51:58 UTC,05579,0601,009,0.0851,567.0447
C2,34.85362197,-119.485961,2019-07-11 14:39:05 UTC,05747,0601,013,0.6277,203.1572
C3,34.93824399,-119.48084,2019-06-21 14:56:35 UTC,05437,0601,001,0.4205,229.8749
C3,34.93824399,-119.48084,2019-06-23 21:25:34 UTC,05472,0601,012,0.0367,577.1033
C3,34.93824399,-119.48084,2019-06-30 18:51:58 UTC,05579,0601,009,0.087,557.5367
C3,34.93824399,-119.48084,2019-07-11 14:39:05 UTC,05747,0601,013,0.6139,186.8311
M1,34.205676,-115.719676,2019-06-20 22:17:39 UTC,05426,0601,011,0.0228,482.5509
M1,34.205676,-115.719676,2019-06-22 14:07:12 UTC,05452,0601,001,0.4072,141.8813
M1,34.205676,-115.719676,2019-06-23 21:25:34 UTC,05472,0601,012,0.0254,487.7835
M1,34.205676,-115.719676,2019-07-01 18:02:52 UTC,05594,0601,011,0.067,483.2481
M1,34.205676,-115.719676,2019-07-12 13:50:44 UTC,05762,0601,012,0.4347,150.5649
M2,34.698199,-115.684169,2019-06-20 22:17:39 UTC,05426,0601,011,0.0117,489.3831
M2,34.698199,-115.684169,2019-06-22 14:07:12 UTC,05452,0601,001,0.344,152.374
M2,34.698199,-115.684169,2019-06-23 21:25:34 UTC,05472,0601,012,0.0137,498.1564
M2,34.698199,-115.684169,2019-07-01 18:02:52 UTC,05594,0601,011,0.0346,488.675
M2,34.698199,-115.684169,2019-07-05 16:21:51 UTC,05655,0601,010,0.077,347.4196
M2,34.698199,-115.684169,2019-07-12 13:50:44 UTC,05762,0601,012,0.2507,148.9951
M3,35.094051,-116.8349,2019-06-20 22:17:39 UTC,05426,0601,011,0.0027,474.9711
M3,35.094051,-116.8349,2019-06-22 14:07:12 UTC,05452,0601,001,0.2426,145.5617
M3,35.094051,-116.8349,2019-06-23 21:25:34 UTC,05472,0601,012,0.0027,494.871
M3,35.094051,-116.8349,2019-07-01 18:02:52 UTC,05594,0601,011,0.0229,422.517
PAN1,36.70654,-120.812,2019-06-21 14:56:35 UTC,05437,0601,001,0.2257,258.788
PAN1,36.70654,-120.812,2019-06-23 21:24:42 UTC,05472,0601,011,0.0052,599.595
PAN2,36.70554,-120.81229,2019-06-21 14:56:35 UTC,05437,0601,001,0.2219,256.048
PAN2,36.70554,-120.81229,2019-06-23 21:24:42 UTC,05472,0601,011,0.0052,603.8954
PAN3,36.70000998,-120.801116,2019-06-21 14:56:35 UTC,05437,0601,001,0.2363,250.696
PAN3,36.70000998,-120.801116,2019-06-23 21:24:42 UTC,05472,0601,011,0.0059,598.7719
