year,region,site,rep,microsite,D1,D2,H,abundance,richness
2017,Mojave,2.1,1,open,,,,25,2
2017,Mojave,2.1,2,open,,,,22,4
2017,Mojave,2.1,3,open,,,,19,2
2017,Mojave,2.1,4,open,,,,22,6
2017,Mojave,2.1,5,open,,,,27,2
2017,Mojave,2.1,6,open,,,,20,2
2017,Mojave,2.1,7,open,,,,21,3
2017,Mojave,2.1,8,open,,,,20,2
2017,Mojave,2.1,9,open,,,,19,3
2017,Mojave,2.1,10,open,,,,16,4
2017,Mojave,2.1,11,open,,,,23,4
2017,Mojave,2.1,12,open,,,,26,3
2017,Mojave,2.1,13,open,,,,29,4
2017,Mojave,2.1,14,open,,,,24,3
2017,Mojave,2.1,15,open,,,,23,4
2017,Mojave,2.1,16,open,,,,25,2
2017,Mojave,2.1,17,open,,,,24,3
2017,Mojave,2.1,18,open,,,,12,3
2017,Mojave,2.1,19,open,,,,10,3
2017,Mojave,2.1,20,open,,,,19,2
2017,Mojave,2.1,21,open,,,,5,2
2017,Mojave,2.1,22,open,,,,23,3
2017,Mojave,2.1,23,open,,,,27,3
2017,Mojave,2.1,24,open,,,,20,3
2017,Mojave,2.1,25,open,,,,29,3
2017,Mojave,2.1,26,open,,,,13,2
2017,Mojave,2.1,27,open,,,,17,3
2017,Mojave,2.1,28,open,,,,10,2
2017,Mojave,2.1,29,open,,,,26,3
2017,Mojave,2.1,30,open,,,,6,2
2017,Mojave,2.2,1,open,,,,7,2
2017,Mojave,2.2,2,open,,,,15,3
2017,Mojave,2.2,3,open,,,,5,1
2017,Mojave,2.2,4,open,,,,10,3
2017,Mojave,2.2,5,open,,,,11,3
2017,Mojave,2.2,6,open,,,,15,4
2017,Mojave,2.2,7,open,,,,14,3
2017,Mojave,2.2,8,open,,,,24,2
2017,Mojave,2.2,9,open,,,,32,4
2017,Mojave,2.2,10,open,,,,12,4
2017,Mojave,2.2,11,open,,,,14,3
2017,Mojave,2.2,12,open,,,,11,3
2017,Mojave,2.2,13,open,,,,11,3
2017,Mojave,2.2,14,open,,,,5,1
2017,Mojave,2.2,15,open,,,,3,2
2017,Mojave,2.2,16,open,,,,14,3
2017,Mojave,2.2,17,open,,,,4,1
2017,Mojave,2.2,18,open,,,,20,3
